Quelle,Projektname,Webseite-Link,Organisation,Status,_single_url,status_code,final_url,error,Website_has_changed
https://correlaid.org/daten-nutzen/projektdatenbank/2022-04-LAU,Entwicklung eines interaktiven Fragebogens zur Verbesserung von Kinderschutzmaßnahmen im Sport,"https://laureus.shinyapps.io/Safeinsport-selfaudit/, https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/","Laureus Sport For Good Germany, CorrelAid e.V.",In Betrieb,https://laureus.shinyapps.io/Safeinsport-selfaudit/,405.0,https://laureus.shinyapps.io/Safeinsport-selfaudit/,,True
https://correlaid.org/daten-nutzen/projektdatenbank/2022-04-LAU,Entwicklung eines interaktiven Fragebogens zur Verbesserung von Kinderschutzmaßnahmen im Sport,"https://laureus.shinyapps.io/Safeinsport-selfaudit/, https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/","Laureus Sport For Good Germany, CorrelAid e.V.",In Betrieb,https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/,404.0,https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird,,True
https://publicinterest.ai/tool/map/project/kivi-ki-vigilare,KIVI – KI + vigilare,https://www.medienanstalt-nrw.de/zum-nachlesen/recht-und-aufsicht/mit-kuenstlicher-intelligenz-zu-einer-modernen-medienaufsicht.html,Media Authority of NRW,Abgeschlossen,https://www.medienanstalt-nrw.de/zum-nachlesen/recht-und-aufsicht/mit-kuenstlicher-intelligenz-zu-einer-modernen-medienaufsicht.html,404.0,https://www.medienanstalt-nrw.de/zum-nachlesen/recht-und-aufsicht/mit-kuenstlicher-intelligenz-zu-einer-modernen-medienaufsicht.html,,False
https://publicinterest.ai/tool/map/project/isosens,IsoSens,https://www.z-u-g.org/aufgaben/ki-leuchttuerme/projektuebersicht-fl2/isosens/,Hamburg University of Applied Sciences,Laufend,https://www.z-u-g.org/aufgaben/ki-leuchttuerme/projektuebersicht-fl2/isosens/,404.0,https://www.z-u-g.org/aufgaben/ki-leuchttuerme/projektuebersicht-fl2/isosens/,,False
https://publicinterest.ai/tool/map/project/radiant-mlhub,Radiant MLHub,https://www.mlhub.earth,Radiant Earth Foundation,Abgeschlossen,https://www.mlhub.earth,404.0,https://www.mlhub.earth/,,True
https://correlaid.org/en/using-data/project-database/2021-07-SIL/,Silbernetz Dashboard,https://correlaid.org/en/using-data/project-database/2021-07-SIL/,"Silbernetz e.V., CorrelAid",Abgeschlossen,https://correlaid.org/en/using-data/project-database/2021-07-SIL/,404.0,https://correlaid.org/en/using-data/project-database/2021-07-SIL/,,False
https://de.mi4people.org/marinelitterdetectionviasatellites,Erkennung von Meeresmüll über Satelliten,https://de.mi4people.org/marinelitterdetectionviasatellites,MI4people,Laufend,https://de.mi4people.org/marinelitterdetectionviasatellites,404.0,https://www.mi4people.org/marinelitterdetectionviasatellites,,True
https://de.mi4people.org/general-computer-vision-for-healthcare,General Computer Vision für das Gesundheitswesen,https://de.mi4people.org/general-computer-vision-for-healthcare,MI4people,Laufend,https://de.mi4people.org/general-computer-vision-for-healthcare,404.0,https://www.mi4people.org/general-computer-vision-for-healthcare,,True
https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/,CHAIN (Combined Homelessness and Information Network) ,https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/,Homeless Link,Abgeschlossen,https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/,,,Connection error,True
https://de.mi4people.org/dofe,DOfE - Data Open for Everyone,https://de.mi4people.org/dofe,MI4people,Abgeschlossen,https://de.mi4people.org/dofe,404.0,https://www.mi4people.org/dofe,,True
