Quelle,Projektname,Webseite-Link,Organisation,Status,_single_url,status_code,final_url,error,Website_has_changed
https://correlaid.org/projekte/projektdatenbank/2022-04-LAU,Entwicklung eines interaktiven Fragebogens zur Verbesserung von Kinderschutzmaßnahmen im Sport,"https://laureus.shinyapps.io/Safeinsport-selfaudit/, https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/","Laureus Sport For Good Germany, CorrelAid e.V.",Abgeschlossen,https://laureus.shinyapps.io/Safeinsport-selfaudit/,405.0,https://laureus.shinyapps.io/Safeinsport-selfaudit/,,True
https://correlaid.org/projekte/projektdatenbank/2022-04-LAU,Entwicklung eines interaktiven Fragebogens zur Verbesserung von Kinderschutzmaßnahmen im Sport,"https://laureus.shinyapps.io/Safeinsport-selfaudit/, https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/","Laureus Sport For Good Germany, CorrelAid e.V.",Abgeschlossen,https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/,404.0,https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird,,True
https://correlaid.org/projekte/projektdatenbank/2022-07-COP,Wo sollen neue Fahrradparkplätze in Paris entstehen? Unterstützung der Entscheidungsfindung mit offenen Daten,"https://github.com/CorrelAid/paris-bikes/, https://paris-bikes-wfiz3bgwsa-ew.a.run.app/","City of Paris, CorrelAid e.V.",Abgeschlossen,https://paris-bikes-wfiz3bgwsa-ew.a.run.app/,,,Timeout,True
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Chatbot Familie,https://digitalstrategie-deutschland.de/digitale-familienassistenten/,BMFSFJ,Abgeschlossen,https://digitalstrategie-deutschland.de/digitale-familienassistenten/,400.0,https://bmds.bund.de/error_path/400.html?al_req_id=apw4ReLMCM3s3Am19FLZXQAACbM,SSL warning (unverified),True
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Erkennung von Studienbescheinigungen für Kindergeld,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen,Bundesagentur für Arbeit,Unbekannt,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen,404.0,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen,,False
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,CRTX,https://crtx.ai/project/,"circular.fashion, TU Berlin, FU Berlin",Unbekannt,https://crtx.ai/project/,,,"HTTPSConnectionPool(host='crtx.ai', port=443): Max retries exceeded with url: /project/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1007)')))",True
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Bike Angels,https://ride.citibikenyc.com/blog/rebalancing-the-citi-bike-system,Citibike (provided by lyft),Unbekannt,https://ride.citibikenyc.com/blog/rebalancing-the-citi-bike-system,503.0,https://ride.citibikenyc.com/blog/rebalancing-the-citi-bike-system,,False
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,QTrees ,https://citylab-berlin.org/de/projects/qtrees/ sowie https://qtrees.ai/,"CityLab Berlin, Technologiestiftung Berlin",Abgeschlossen,sowie,,,Connection error,True
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,ZuSiNa,https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/zusina/,"ConPolicy GmbH, Deutsches Forschungszentrum für Künstliche Intelligenz GmbH, Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.",Unbekannt,https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/zusina/,404.0,https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/zusina/,,False
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Chatbot Bobbi,https://service.berlin.de/chatbot/chatbot-bobbi-606279.php,DAI-Labor der TU Berlin in Kooperation mit ITDZ Berlin,Unbekannt,https://service.berlin.de/chatbot/chatbot-bobbi-606279.php,404.0,https://service.berlin.de/chatbot/chatbot-bobbi-606279.php,,False
