Index;Quelle;Projektname;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;data_source;Projekt-Abkürzung;Art
0;https://citylab-berlin.org/de/projects/beyond-forms/;Beyond Forms;Stadt, Soziale Arbeit, Armut, Inklusion, Gleichstellung, Zivilgesellschaft;http://google.org/;CityLAB Berlin;Laufend;KI-Agenten für Antragsprozesse der Zukunft – einfacher, schneller, zugänglicher;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Forschung, Open-Source, Prozessautomatisierung, KI Anwendung, Maschinelles Lernen
1;https://citylab-berlin.org/de/projects/baergpt/;BärGPT;DE, Digitale Zusammenarbeit, Neue Technologien;https://citylab-berlin.org/de/blog/baergpt-technischer-deep-dive-ki-assistenten-berliner-verwaltung/, https://citylab-berlin.org/de/blog/baergpt-der-neue-ki-assistent-fuer-die-berliner-verwaltung/;CityLAB Berlin;Laufend;Der KI-Assistent für die Berliner Landesverwaltung.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;
2;https://citylab-berlin.org/de/projects/fairgnuegen/;Fairgnügen;Kultur, Sport, Bildung, Barrierefreiheit, Inklusion, Armut;https://fairgnuegen.berlin.de/;CityLAB Berlin;Laufend;Unsere neue Webseite hilft bei der Suche nach über 400 kostenlosen und ermäßigten Angeboten.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Web-App, Interaktive Karte, Plattform, Open Data, Datenbank
3;https://citylab-berlin.org/de/projects/parla/;Parla;Stadt, Open Data;https://github.com/technologiestiftung/parla-frontend, https://pardok.parlament-berlin.de/portala/browse.tt.html, https://citylabberlin.typeform.com/to/kCdnCgvC#product=parla, https://citylab-berlin.org/de/blog/parla-technische-entwicklung-des-neuen-ki-tools/, https://www.parla.berlin, https://citylab-berlin.org/de/wissensspeicher-glossar/;CityLAB Berlin;Laufend;Das neue KI-Tool Parla macht Schriftliche Anfragen durchsuchbar. ;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;KI-Anwendung, Information Retrieval, Web-App, Open-Source, Datenportal
4;https://citylab-berlin.org/de/projects/kiezlabor/;Kiezlabor;Stadt, Zivilgesellschaft;https://kiezlabor.de/kiezpartner/#kontakt, https://kiezlabor.de/kiezpartner/, https://kiezlabor.de/veranstaltungsorte/, https://kiezlabor.de/was-wir-machen/;CityLAB Berlin;Laufend;Das Kiezlabor bringt den prototypischen Ansatz des CityLAB Berlin in die Kieze.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Workshops
5;https://citylab-berlin.org/de/projects/data-hub-berlin/;Data Hub Berlin  ;Stadt, Verwaltung, Open Data, Datenanalyse;https://data-hub.berlin/;CityLAB Berlin;Laufend;Die zentrale Plattform für ein bessere Wertschöpfung der Berliner Datenschätze. ;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Datenportal, Open-Source, Dashboard, Visualisierung, Web-App, API, Datenmanagement
6;https://citylab-berlin.org/de/projects/partizipation-digital/;Partizipation Digital ;Flucht und Migration, Zivilgesellschaft, Stadt;https://minor-kontor.de/partizipation-digital/, https://www.berlin.de/lb/intmig/programme-und-praktische-hilfen/partizipation-digital/;CityLAB Berlin;Laufend;Eine prototypische Lösung soll den Ankunftsprozess unterstützen und verbessern.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;PaDi;Digitale Plattform, Interaktive App, Web-App
7;https://citylab-berlin.org/de/projects/govtech-testlab/;GovTech TestLAB;Verwaltung, Klima, Stadt, Klimaschutz, Berlin;https://citylab-berlin.org/de/blog/warum-gute-produkttests-wie-eine-abenteuerliche-seefahrt-sind/, https://citylab-berlin.org/de/blog/digitale-souveraenitaet-fuer-die-berliner-verwaltung/, https://citylab-berlin.org/de/blog/govtech-scouting-unser-testlabor-fuer-die-berliner-verwaltung/;CityLAB Berlin;Laufend;Wir schaffen einen Raum, in dem Lösungen ausprobiert und bewertet werden können.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;GovTech TestLAB;Workshops, Prozessautomatisierung, Datenanalyse, Datenvisualisierung, Open Source, KI Anwendung, Datenanwendung
8;https://citylab-berlin.org/de/projects/stadtlabor2go/;Stadtlabor2Go;Stadtplanung, Demokratie, Inklusion, Technologie, Nachhaltigkeit;https://citylab-berlin.org/de/projects/labcamp/, https://zukunftswerk.wiesbaden.de/, https://www.moenchengladbach.de/de/aktuell-aktiv/newsroom/das-neue-stadtlabormg-sorgt-fuer-digitale-bildung-und-beteiligung-rund-um-die-digitalisierung-der-stadt, https://citylab-berlin.org/de/blog/digitale-souveraenitaet-fuer-die-berliner-verwaltung/, https://citylab-berlin.org/en/newsletter, https://gemeinsamdigital.berlin.de/de/, https://citylab-berlin.org/de/wissensspeicher/, https://kiezlabor.de/, https://www.wiesbaden.de/wirtschaft/wirtschaftsstandort/zukunftswerk.php, https://citylab-berlin.org/de/blog/prototyping-im-stadtraum/, https://www.egovernment.de/nutzerzentrierte-digitalisierung-im-stadtlabor2go-a-c21179e2f18ba56f79f015e7d74f5da8/, https://citylab-berlin.org/de/blog/theorie-trifft-realitaet-warum-prozesse-selten-so-ablaufen-wie-geplant/;CityLAB Berlin;Laufend;Stadtlabor2Go zeigt, wie Städte Digitalisierung gemeinsam voranbringen können.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;Stadtlabor2Go;Workshops, Vernetzung, KI Anwendung, Datenanwendung für Öffentlichkeit
9;https://citylab-berlin.org/de/projects/giess-den-kiez/;Gieß den Kiez;Klimaschutz, Umwelt, Stadt, Nachhaltigkeit, Zivilgesellschaft;https://giessdeinviertel.codeforleipzig.de/, http://www.giessdenkiez.de/, https://citylab-berlin.org/wp-content/uploads/2019/06/Giess-den-Kiez-Anleitung-Checkliste-Retrospektive.pdf, https://www.giessdenkiez.de/, https://citylab-berlin.org/wp-content/uploads/Two-Pager-Giess_den_Kiez-0326_DE.pdf, https://www.magdeburg-giesst.de, https://www.bund-berlin.de/service/publikationen/detail/publication/bund-baumreport-berlin-2012-2019/, https://github.com/technologiestiftung/giessdenkiez-de, https://www.giessdenkiez.de, https://join.slack.com/t/giessdenkiez/shared_invite/zt-e3et281u-xON4UmBZpKavzDRkw5HmCQ/, https://www.bund-berlin.de/fileadmin/berlin/Arbeitsmaterialien/Baeume_richtig_giessen.pdf;CityLAB Berlin;Laufend;Gieß den Kiez ist eine Plattform zur Koordinierung der Bewässerung der Berliner Bäume.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Plattform, Web-App, Open Data, Datenvisualisierung, Vernetzung
