Index,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Projekt-Abkürzung,Lizenz,Lizenz-Organisation
0,https://correlaid.org/daten-nutzen/projektdatenbank/2022-11-ATT,Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen,"['exploratory', 'reporting', 'visualization']","['open', 'process']","https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html, https://correlaid.github.io/trinkbrunnen-analyse/analysis-fountains-germany.html, https://github.com/CorrelAid/trinkbrunnen-analyse","a tip: tap e.V., CorrelAid e.V.",In Betrieb,"Wir haben Open Street Maps-Daten zu Trinkbrunnen in Deutschland analysiert, unsere Ergebnisse mit offiziellen Zahlen verglichen und die Qualität der Metadaten verbessert.",,CC-BY 4.0,https://correlaid.org/
1,https://correlaid.org/daten-nutzen/projektdatenbank/2023-10-ISH,Mithilfe von KI Wirkungsmessung skalieren,"['modeling', 'ai', 'nlp']","['text', 'process']",,"In safe hands e.V., CorrelAid e.V.",In Betrieb,"Wir haben ein Tool entwickelt, das die Auswertung von Teilnehmerbefragungen für ein sportpädagogisches Präventionsprogramm unterstützt. Dabei werden Algorithmen des maschinellen Lernens eingesetzt, um Kodierungen für Antworten vorzuschlagen und so Zeit für komplexere Fälle zu gewinnen.",,CC-BY 4.0,https://correlaid.org/
2,https://correlaid.org/daten-nutzen/projektdatenbank/2021-04-SOS,Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen,['automation'],['process'],,"Science on Stage e.V., CorrelAid e.V.",In Betrieb,"Wir haben Skripte entwickelt, um die Datenverarbeitung für Science on Stage e.V. zu automatisieren, was ihnen Zeit und Mühe erspart und es ihnen ermöglicht, deine Arbeit stärker datenorientiert zu gestalten.",,CC-BY 4.0,https://correlaid.org/
3,https://correlaid.org/daten-nutzen/projektdatenbank/2024-09-CHW,Automatisiertes Monitoring von Zielgruppenentwicklung im Zeitverlauf,"['reporting', 'visualization', 'automation', 'impact']","['panel', 'survey']",,"Chancenwerk e.V., CorrelAid e.V.",In Betrieb,Unterstützung von Chancenwerk mit automatisierter Umfrageauswertung zur Reduzierung des Verwaltungsaufwands.,,CC-BY 4.0,https://correlaid.org/
4,https://correlaid.org/daten-nutzen/projektdatenbank/2024-06-BAB,Automatisierte Fragebogenauswertung mit Generativer KI,['reporting'],['survey'],"https://github.com/CorrelAid/workshop-babylotse, https://github.com/CorrelAid/workshop-babylotse/blob/main/data/Umfrage%20DE%20submissions%202024-07-31%2000_25.csv, https://github.com/CorrelAid/workshop-babylotse/","Babylotse, CorrelAid e.V.",In Betrieb,Mithilfe von Large Language Models wertete CorrelAid e.V. die von der Initiative Babylotse Frankfurt erhobenen Umfragedaten zu Bedarfen von Familien mit Babys aus. Die identifizierten Bedürfnisse und Anliegen konnten so wirkungsvoll an politische Entscheidungsträger*innen kommuniziert werden. ,,CC-BY 4.0,https://correlaid.org/
5,https://correlaid.org/daten-nutzen/projektdatenbank/2024-12-SIN,Automatisiertes Qualitätsmanagement für ein Mentoringprogramm,"['reporting', 'visualization', 'automation']","['survey', 'process', 'administrative']",,"Sindbad, CorrelAid e.V.",In Planung,Ein flexibles Dashboard: Mentoring-Feedback einfach verstehen und gezielt auswerten.,,CC-BY 4.0,https://correlaid.org/
6,https://correlaid.org/daten-nutzen/projektdatenbank/2023-12-DEM,Mit Daten zu transparenterer Demokratie,"['open_source', 'visualization']","['open', 'administrative']","https://civic-data.de/ein-wegweiser-fuer-die-demokratie/, https://karte.demokratie-wegweiser.de","Demokratie-Wegweiser, Civic Data Lab, CorrelAid e.V.",In Betrieb,Entwicklung einer datenbasierten Lösung für das Projekt „Demokratie Wegweiser“: Bewältigung struktureller Probleme bei der Bereitstellung zuverlässiger Daten für Bürger.,,CC-BY 4.0,https://correlaid.org/
7,https://correlaid.org/daten-nutzen/projektdatenbank/2024-04-TEN,Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen,['data_collection'],['survey'],https://civic-data.de/output-monitoring-ten-sing/,"CVJM-Gesamtverband in Deutschland e. V., Civic Data Lab, CorrelAid e.V.",In Betrieb,"Bewältigung der Datenherausforderungen, denen die teilnehmenden Organisationen gegenüberstanden, und Sammlung von Erkenntnissen, damit sie ihren Gemeinden besser dienen können.",,CC-BY 4.0,https://correlaid.org/
8,https://correlaid.org/daten-nutzen/projektdatenbank/2024-03-PZA,Open Data aus Bürger- und Jugendbeteiligungsprojekten,"['data_collection', 'data_management', 'ai']","['open', 'administrative', 'survey']",https://civic-data.de/kommuki-open-data/,"Politik zum Anfassen e.V., Civic Data Lab, CorrelAid e.V.",In Betrieb,Wir unterstützten die Umsetzung eines Datenprojekts durch das Civic Data Lab und halfen einer teilnehmenden Organisation bei der Bewältigung eines Datenproblems.,,CC-BY 4.0,https://correlaid.org/
9,https://correlaid.org/daten-nutzen/projektdatenbank/2024-03-LEM,Unterstützung des Relaunchs des Leerstandsmelders,"['web_development', 'exploratory']","['process', 'survey']","https://civic-data.de/leerstandsmelder/, https://leerstandsmelder.de","Leerstandsmelder, Gängeviertel e.V., Civic Data Lab, CorrelAid e.V.",In Betrieb,"Back- und Frontend, Contententwicklung, UX-Testing und rechtliche Prüfung mit Umsetzung der entsprechenden Änderungen des Webseiten-Relaunchs von Leerstandsmelder.de",,CC-BY 4.0,https://correlaid.org/
