Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation;Index
https://correlaid.org/daten-nutzen/projektdatenbank/2022-11-ATT;Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen;{'Datenanalyse': 'Datenanalyse', 'Explorative Analyse': 'Datenanalyse', 'Reporting': 'Datenreporting', 'Visualisierung': 'Datenreporting', 'Open Data': 'Öffentliche Daten', 'Prozess': '', 'Web-App': 'Webanwendungen'};{'Deutschland': '', 'Umweltschutz': 'Klima & Umwelt', 'Nachhaltigkeit': 'Klima & Umwelt', 'Ökologie': ''};https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html, https://correlaid.github.io/trinkbrunnen-analyse/analysis-fountains-germany.html, https://github.com/CorrelAid/trinkbrunnen-analyse;a tip: tap e.V., CorrelAid e.V.;In Betrieb;Wir haben Open Street Maps-Daten zu Trinkbrunnen in Deutschland analysiert, unsere Ergebnisse mit offiziellen Zahlen verglichen und die Qualität der Metadaten verbessert.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2023-10-ISH;Mithilfe von KI Wirkungsmessung skalieren;{'KI Anwendung': '', 'Datenanalyse': 'Datenanalyse', 'Datenanwendung für Öffentlichkeit': 'Datenanwendung für Öffentlichkeit', 'Datenerhebung': 'Datenerhebung', 'Prozessautomatisierung': 'Automatisierung', 'Wirkungsmessung': 'Wirkungsmessung'};{'Arbeit mit Kindern': 'Jugendhilfe', 'Chancengleichheit': 'Anti Dismkriminierung', 'Inklusion': 'Inklusion & Teilhabe', 'Kinder- und Jugendhilfe': 'Jugendhilfe', 'Soziale Arbeit': 'Soziale Dienste'};;In safe hands e.V., CorrelAid e.V.;In Betrieb;Wir haben ein Tool entwickelt, das die Auswertung von Teilnehmerbefragungen für ein sportpädagogisches Präventionsprogramm unterstützt. Dabei werden Algorithmen des maschinellen Lernens eingesetzt, um Kodierungen für Antworten vorzuschlagen und so Zeit für komplexere Fälle zu gewinnen.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2021-04-SOS;Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen;{'Automatisierung von Prozessen': '', 'Datenanalyse': 'Datenanalyse', 'Prozessautomatisierung': 'Automatisierung'};{'Bildung': 'Bildung', 'Wissenschaft': '', 'Forschung': '', 'Datenorientierung': ''};;Science on Stage e.V., CorrelAid e.V.;In Betrieb;Wir haben Skripte entwickelt, um die Datenverarbeitung für Science on Stage e.V. zu automatisieren, was ihnen Zeit und Mühe erspart und es ihnen ermöglicht, deine Arbeit stärker datenorientiert zu gestalten.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2024-09-CHW;Automatisiertes Monitoring von Zielgruppenentwicklung im Zeitverlauf;{'Automatisierte Datenübermittlung': 'Datenmanagement', 'Reporting': 'Datenreporting', 'Datenanalyse': 'Datenanalyse', 'Datenerhebung': 'Datenerhebung', 'Datenvisualisierung': 'Datenreporting'};{'Kinder- und Jugendbildung': '', 'Bildungschancen': '', 'Soziale Arbeit': 'Soziale Dienste'};;Chancenwerk e.V., CorrelAid e.V.;In Betrieb;Unterstützung von Chancenwerk mit automatisierter Umfrageauswertung zur Reduzierung des Verwaltungsaufwands.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2024-06-BAB;Automatisierte Fragebogenauswertung mit Generativer KI;{'Automatisierte Fragebogenauswertung mit Generativer KI': '', 'Reporting': 'Datenreporting', 'Umfrage': 'Datenerhebung'};{'Familienfreundlichkeit': '', 'Kinderbetreuung': '', 'Transport': '', 'Barrierefreiheit': 'Inklusion & Teilhabe', 'Familienfreundlichkeit in der Öffentlichkeit': '', 'Soziale Arbeit': 'Soziale Dienste'};https://github.com/CorrelAid/workshop-babylotse, https://github.com/CorrelAid/workshop-babylotse/blob/main/data/Umfrage%20DE%20submissions%202024-07-31%2000_25.csv, https://github.com/CorrelAid/workshop-babylotse/;Babylotse, CorrelAid e.V.;In Betrieb;Mithilfe von Large Language Models wertete CorrelAid e.V. die von der Initiative Babylotse Frankfurt erhobenen Umfragedaten zu Bedarfen von Familien mit Babys aus. Die identifizierten Bedürfnisse und Anliegen konnten so wirkungsvoll an politische Entscheidungsträger*innen kommuniziert werden. ;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2024-12-SIN;Automatisiertes Qualitätsmanagement für ein Mentoringprogramm;{'Automatisierte Datenübermittlung': 'Datenmanagement', 'Reporting': 'Datenreporting', 'Visualisierung': 'Datenreporting', 'Automatisierung': 'Automatisierung', 'Umfrage': 'Datenerhebung', 'Prozess': '', 'Verwaltung': ''};{'Jugendbeteiligung': 'Jugendhilfe', 'Jugendhilfe': 'Jugendhilfe', 'Mentoring': 'Bildung', 'Bildung': 'Bildung', 'Soziale Arbeit': 'Soziale Dienste'};;Sindbad, CorrelAid e.V.;In Planung;Ein flexibles Dashboard: Mentoring-Feedback einfach verstehen und gezielt auswerten.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2023-12-DEM;Mit Daten zu transparenterer Demokratie;{'Datenanalyse': 'Datenanalyse', 'Datenerhebung': 'Datenerhebung', 'Datenanwendung für Öffentlichkeit': 'Datenanwendung für Öffentlichkeit', 'Digitale Plattform': 'Digitale Plattformen', 'Interaktive Karte': 'Karten & Verzeichnisse', 'Visualisierung mit Karten': 'Karten & Verzeichnisse'};{'Demokratie': 'Demokratie & Soziale Rechte', 'Transparenz': 'Inklusion & Teilhabe', 'Demokratie-Wegweiser': '', 'Mitmach-Demokratie': '', 'politische Beteiligung': ''};https://civic-data.de/ein-wegweiser-fuer-die-demokratie/, https://karte.demokratie-wegweiser.de;Demokratie-Wegweiser, Civic Data Lab, CorrelAid e.V.;In Betrieb;Entwicklung einer datenbasierten Lösung für das Projekt „Demokratie Wegweiser“: Bewältigung struktureller Probleme bei der Bereitstellung zuverlässiger Daten für Bürger.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2024-04-TEN;Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen;{'Output Monitoring': 'Wirkungsmessung', 'Umfrage': 'Datenerhebung', 'Datenerhebung': 'Datenerhebung'};{'Jugendarbeit': 'Jugendhilfe', 'Jugendbeteiligung': 'Jugendhilfe', 'Jugendhilfe': 'Jugendhilfe', 'Soziale Arbeit': 'Soziale Dienste'};https://civic-data.de/output-monitoring-ten-sing/;CVJM-Gesamtverband in Deutschland e. V., Civic Data Lab, CorrelAid e.V.;In Betrieb;Bewältigung der Datenherausforderungen, denen die teilnehmenden Organisationen gegenüberstanden, und Sammlung von Erkenntnissen, damit sie ihren Gemeinden besser dienen können.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2024-03-PZA;Open Data aus Bürger- und Jugendbeteiligungsprojekten;{'Datenerhebung': 'Datenerhebung', 'Datenmanagement': 'Datenmanagement', 'KI': '', 'Open Data': 'Öffentliche Daten', 'Verwaltung': '', 'Umfrage': 'Datenerhebung'};{'Demokratie': 'Demokratie & Soziale Rechte', 'Jugendbeteiligung': 'Jugendhilfe', 'Politische Bildung': 'Demokratie & Soziale Rechte', 'Bürgerbeteiligung': ''};https://civic-data.de/kommuki-open-data/;Politik zum Anfassen e.V., Civic Data Lab, CorrelAid e.V.;In Betrieb;Wir unterstützten die Umsetzung eines Datenprojekts durch das Civic Data Lab und halfen einer teilnehmenden Organisation bei der Bewältigung eines Datenproblems.;;CC-BY 4.0;https://correlaid.org/;
https://correlaid.org/daten-nutzen/projektdatenbank/2024-03-LEM;Unterstützung des Relaunchs des Leerstandsmelders;{'Datenanalyse': 'Datenanalyse', 'Datenerhebung': 'Datenerhebung', 'Digitale Plattform': 'Digitale Plattformen', 'Interaktive App': 'Webanwendungen', 'Interaktive Karte': 'Karten & Verzeichnisse', 'Umfrage': 'Datenerhebung', 'Webentwicklung': 'Webanwendungen'};{'Deutschland': '', 'Wohnen': 'Stadtentwicklung', 'Wohnungslosenhilfe': 'Soziale Dienste', 'Soziale Arbeit': 'Soziale Dienste', 'Stadt': 'Stadtentwicklung', 'Stadtplanung': 'Stadtentwicklung'};https://civic-data.de/leerstandsmelder/, https://leerstandsmelder.de;Leerstandsmelder, Gängeviertel e.V., Civic Data Lab, CorrelAid e.V.;In Betrieb;Back- und Frontend, Contententwicklung, UX-Testing und rechtliche Prüfung mit Umsetzung der entsprechenden Änderungen des Webseiten-Relaunchs von Leerstandsmelder.de;;CC-BY 4.0;https://correlaid.org/;
